pdpass,dateIncorporated,fileNumber,assignee1,assignee2,assignee3,assignee4,assignee5
12367113,,,FIRE DESIGN LLC,,,,
13221102,,,API HEAT TRANSFER INC,,,,
12366140,,,AMERICAN HOLOGRAPHIC INC,,,,
10997922,1/14/87,C1577124,VENTURA FORGE INC,,,,
11921821,12/1/86,2109225,ATI TECHNOLOGIES,ATI TECHNOLOGIES ULC,ATI TECHNOLGIES INC,ATI TECHNOLOGIES INC,
13139171,9/6/07,4418771,MCI LLC,,,,
12078672,,,GLOBAL MOBILITY SYSTEMS INC,,,,
11010712,11/30/84,C1262523,SARATOGA SEMICONDUCTOR CORPORATION,,,,
12051463,1/28/93,2324022,CLARUS MEDICAL SYSTEMS INC,,,,
12139022,12/21/88,2182114,DIESEL ENGINE RETARDERS INC,DIESEL ENGINE RETARDES INC,DIESEL ENGINE RETARDERS,,
13160715,,,MERCK FROST CANADA LTD,MERCK FROSST CANADA LTD,,,
12194705,,,PICOTURBO INC,,,,
12321006,3/15/99,C2157331,ARTEMIS MEDICAL INC,,,,
13194812,8/28/61,1008019,XEROX CORPORATIONS,XEROXCORPORATION,,,
11783657,3/3/93,2327832,GAMERA BIOSCIENCE CORP,GAMERA BIOSCIENCE INC,,,
11349053,6/27/88,2165018,DYCAM INC,,,,
12407172,11/20/85,2076237,MITSUBISHI ELECTRIC POWER PRODUCTS INC,,,,
12217118,,,LAUGHLIN PRODUCTS INC,,,,
12617282,,,HEI LLC,,,,
12816919,,,HYBRID PLASTICS,HYBRID PLASTICS INC,,,
10619770,4/23/82,C1110148,ALZETA CORP,,,,
12821088,8/6/01,3422471,OFS FITEL,,,,
12825087,11/30/00,3322652,TELECTROSCAN INC,,,,
13023411,3/22/02,C2411299,OFFICEMATE INTERNATIONAL CORP,,,,
12980933,,,JOHNSON JOHNSON VISION CARS INC,,,,
13162491,4/25/00,C2230734,POCKETTHIS INC,,,,
12673675,1/30/70,741708,TRANSPORTATION TECHNIQUES LLC,,,,
12231120,,,DIRECTORY LOGIC INC,,,,
12800025,6/26/96,2638178,UNITED THERAPEUTICS CORPORATION,,,,
12024781,,,RASPBERRY MED INC,,,,
11681715,10/12/94,2442818,OAK TECHNOLOGY INC,,,,
12530274,,,WORLD COM INC,WORLDCOMM INC,WORLDS COM INC,WORLDCOM INC,
12249430,,,ORA INNOVATIONS INC,,,,
12332418,6/14/82,939188,EXXONMOBIL CHEMICAL PATENTS INC,EXXONMOBILE CHEMICAL PATENTS INC,EXXONMOBIL CHEMICAL CO,EXXONMOBIL CHEMICALS PATENTS INC,
12888100,,,BLUEHERON SEMICONDUCTOR CORPORATION,,,,
12275210,,,ALLIEDSIGNAL POWER SYSTEMS,ALLIEDSIGNAL POWER SYSTEMS INC,,,
13114612,,,PHOTONIC BIOSYSTEMS INC,,,,
12768051,,,SEVIS SYSTEMS INC,,,,
11565629,8/25/87,2135779,REHRING DIAGNOSTICS,BEHRING DIAGNOSTICS INC,,,
11183729,,,FORD SAEKS,,,,
11958182,12/24/96,2699116,HEADWAY TECHNOLOGIES,HEAD WAY TECHNOLOGIES INC,HEADAY TECHNOLOGIES INC,HEADWAY TECHNOLOIES INC,HEADWAY TECHNOLOG
12840150,2/8/90,2221624,TOMAHAWK INC,,,,
12454464,12/18/98,2981572,DRESSER INC,,,,
12601363,6/25/76,C0772709,INNOSYS INC,,,,
12026758,3/28/94,2389649,LEO ONE IP LLC,,,,
11627116,7/9/90,C1568773,MAXI SWITCH INC,,,,
11053005,,,XOC DEVICES INC,,,,
12691121,,,XOETRONICS LLC,,,,
12310337,,,ATL ULTRASOUND INC,ATL ULTRASOUND,,,
11014189,,,ADMINISTRATORS OF THE TULANE EDUCATION FUND,THE ADMINISTRATORS OF THE TULANE EDUCATIONAL FUND,ADMINISTATORS OF THE TULANE EDUCATIONAL FUND,ADMINISTRATORS OF THE TULANE EDUCATIONAL FUND,TULANE EDUCATIONAL FUND
12188714,5/4/99,3038546,AGILENT TECHNOLGOIES INC,AGIELNT TECHNOLOGIES,AGILENTTECHNOLOGIES INC,AGILENT TECHNOLOIGES INC,AGILENT TECHNLOLGIES INC
12948718,,,ARVIK ENTERPRISES LLC,,,,
12557061,9/9/99,3094341,PMCSIERRA,PMC SIERRA US INC,PMCSIERRA US INC,,
11872635,10/14/94,2443442,ALARIS MEDICAL SYSTEMS INC,,,,
11185849,,,PARWAY GROUP INC,PAR WAY GROUP,PARWAY GROUP,,
13217477,5/15/02,3525302,BRION TECNOLOGIES INC,BRION TECHNOLOGIES INC,,,
11941491,2/19/91,C1681960,ENVISION MEDICAL CORP,,,,
11949201,,,MVA INC,,,,
12223267,5/6/88,2160079,LAND ROVER GROUP LTD,LAND ROVER GROUP LIMITED,,,
10852551,,,J T BAKER INC,,,,
12774256,,,MOBILITY EZ LLC,,,,
12740810,10/5/89,2209756,POLYMER CONCEPTS INC,,,,
12988795,,,DURHAM LOGISTICS LLC,,,,
12303225,,,SANFORD I LP,SANFORD L P,SANFORD LP,,
12171708,,,STRYKER BIOTECH,,,,
11102773,,,MARION MERRELL DOW INC,,,,
12384406,,,NTK POWERDEX INC,,,,
11761762,2/16/94,2378555,ROCKWELL SEMICONDUCTOR SYSTEMS INC,ROCKWELL SEMICONDUCTOR SYSTEM INC,,,
13106480,11/12/04,3880222,HUGHES NETWORK SYSTEM LLC,HUGHES NETWORK SYSTEMS LLC,HUGHES NETWORKS SYSTEMS LLC,,
11872896,8/29/91,2272386,FOUNTAINHEAD TECHNOLOGIES INC,,,,
12337130,4/17/98,2885645,NEXABIT NETWORKS INC,,,,
11750295,6/26/92,2302223,HUMAN GENOME SCIENES INC,HUMAN GENOMES SCIENCES INC,HUMAN GENOME SCEINECES INC,,
10928836,,,EURO CELTIQUE SA,EUROCELTIGUE SA,EUROCELTIQUE SA,EUROCELTIQUE S A,EUROCELTIQUE SA LUXEMBOURG
12892323,1/14/02,3470098,OPENPEAK INC,,,,
11279607,,,FORSS INC,,,,
13127887,,,THERIES LLC,,,,
12639087,,,SPECTEL OPERATIONS LIMITED,,,,
12499308,5/28/87,2127514,PROFIGEN INC,,,,
12405314,,,GENVS INC,,,,
12945945,,,AIRCRAFT INTEGRATION RESOURCES INC,,,,
12638802,2/8/99,2995020,AXSUN TECHNOLOGIES INC,,,,
13011431,2/19/02,3493540,MELMOTTE INC,,,,
13083960,,,INDEPENDENT PIPE PRODUCTS INC,,,,
11113420,5/15/86,2091112,LIFE TECHNOLOGIES INC,LIFE TECHNOLOGIES CORPORATION,,,
13234346,5/27/04,3797833,DAVIDSON INSTRUMENTS INC,,,,
11195730,11/17/86,2107680,ADVANCED COMPOSITE MATERIALS CORP,ADVANCED COMPOSITE MATERIALS CORPORATION,,,
12780310,5/13/98,2896087,CORCEPT THERAPEUTICS INC,,,,
12677276,,,ARC WIRELESS SOLUTIONS INC,,,,
13198198,1/3/90,2218187,KARYKION INC,,,,
12555068,,,ONESTA NUTRITION INC,,,,
11660038,7/12/95,2523746,NETWORK PERIPHERALS INC,,,,
12898090,,,ROCKWELL SCIENTIFIC LICENSING LLC,,,,
11503575,,,HEMAGENPFC,,,,
11156421,,,ZEXEL USA CORPORATION,ZEXELL,ZEXEL CORP,ZEXEL CORPORATION,ZEXEL CORPORTION
13239565,5/5/00,3223543,SEVEN NETWORKS INC,SEVEN NETWORKS,,,
13137975,,,WACKER CHEMIE AG,,,,
12211189,,,BP SOLAREX,,,,
12551354,,,PHARMA TERRA INC,,,,
11690667,12/5/08,4630659,SCW INC,,,,
12511199,5/30/90,C1665765,KERI SYSTEMS INC,,,,
12129111,,,MAGELAN DTS INC,MAGELLAN DIS INC,,,
11720002,,,ABBOTT CRITICAL CARE SYSTEMS,,,,
13251448,,,SEE PROGRESS INC,,,,
11321964,,,DALSA INC,,,,
12236007,,,ST JUDE MEDICAL CARDIOVASCULAR GROUP INC,,,,
13239598,10/22/04,3871378,VERALIGHT INC,,,,
11877534,,,L3 COMMUNICATIONS NARDA MICROWAVE WEST,,,,
12949960,7/28/03,C2545670,HIGH TIDE ASSOCIATES INC,,,,
12806892,12/28/10,4920310,CONJUCHEM INC,,,,
11859599,,,GIVAUDAN ROURE FLAVORS CORPORATION,,,,
10086086,,,PAPSTMOTOREN KG,PAPST MOTOREN GMBH COMPANY KG,PAPST MOTOREN GMBH CO KG,PABSTMOTOREN GMBH CO KG,PAPSTMOTOREN GMBH CO KG
10593554,,,LMIDIFFRACTO,DIFFRACTO LTD,,,
11401906,,,UNION SWITCH SIGNAL INC,,,,
13037037,,,FORMFACTOR ET AL,,,,
11460292,,,FLOW INTERNATIONAL CORPORATION,,,,
11916117,,,TEIJIU SEIKI CO LTD,,,,
11564477,7/21/80,C0993120,CREST ULTRASONICS CORP,,,,
11017125,,,MARKING DESIGNS INC,,,,
11472365,8/14/90,C1670663,SPORTSENSE INC,,,,
12465034,,,POLYMER ALLOYS LLC,,,,
12818083,,,ARRYX INC,,,,
12475286,,,LOCKNET LLC,,,,
11670475,4/28/95,2503941,ANSELL PERRY INC,,,,
12879288,,,SUREFIRE LLC,,,,
12111356,,,ST CLAIR INTELLECTUAL PROPERTY CONSULTANTS INC,,,,
11607117,10/20/94,2445778,COUNTY LINE LIMITED LLC,,,,
12766892,,,COOK BIOTECH INC,COOK BIOTECH INCORPORATED,,,
11044437,4/10/00,3210243,IN MOTION INC,,,,
11563271,3/21/03,3639142,SILICON VIDEO CORPORATION,,,,
12343373,,,TELECOM INTERNET LTD,,,,
11331536,1/27/89,2185692,XRL INC,,,,
12205492,,,WINKLER DUNNEBRIER AG,WINKELER PLUS DUNNEBRIER AG,WINKLER DUENNEBIER AG,WINKLER PLUS DUNNEBIER AG,WINKLER DUNNEBIER AKTIENGESELLSCHAFT
10378615,,,DEGUSSA AKTIENGELLSCHAFT,DEGUSSA CORPORATION,DEGUSSA AKTIENGESELLSCHAFT,DEQUSSA AG,DEGUSSA AG
11942252,,,CAMERON EQUIPMENT CO,,,,
12819390,,,HITACHI PRINTING SOLUTIONS AMERICA INC,,,,
11595525,,,CHOICE COMMUNICATION PRODUCTS INC,,,,
11145054,1/12/89,C1631550,ADVANCED OSSEOUS TECHNOLOGIES INC,,,,
12226668,,,INNOVATIVE OPTICS INC,,,,
12890967,,,ADISSEO FRANCE SAS,,,,
12140151,1/12/96,C1957359,MERCURY DIAGNOSTICS INC,,,,
22997023,2/18/92,2288335,SOLEXA INC,,,,
10716503,7/29/60,C0400291,ANALYSTS INC,,,,
13017960,3/1/00,3172177,JIBE NETWORKS,,,,
11595848,8/5/86,2098124,NELLCOR PURITAN BENNETT INCORPOATED,NELLCOR PURITAN BENNETT CORPORATION,NELLCORPURITAN BENNETT INCORPORATED,NELLCOR PURITAN BENNET LLC,NELLOR PURITAN BENNETT INCORPORATED
12099446,6/1/88,2162478,SANDISK CORPORATION,,,,
12286874,,,SMITH ABRASIVES INC,,,,
10079957,12/27/00,3320414,FOSSA MEDICAL INC,FOSS AMERICA INC,,,
11112517,8/11/88,2169155,PACIFIC COMMUNICATIONS SCIENCES INC,PACIFIC COMMUNICATIONS SCIENCE INC,PACIFIC COMMUNICATION SCIENCES,PACIFIC COMMUNICATION SYSTEMS INC,PACIFIC COMMUNICATION SCIENCE INC
12150345,,,KEYSPAN ENERGY,,,,
12210191,9/10/99,3093796,EDWARDS LIFESCIENCES AG,EDWARDS LIFESCIENCE CORPORATION,EDWARDS LIFESCIENCES CORPORATION,EDWARDS LIFESCIENCES LLC,EDWARDS LIFESCIENCES
12046347,12/7/94,2459282,DIAMOND MULTIMEDIA SYSTEMS INC,,,,
12732439,12/16/96,2695209,NOVARTIS ANIMAL HEALTH INC,,,,
13228910,4/15/03,3648012,EMERGENT PRODUCT DEVELOPMENT GAITHERSBURG INC,,,,
12287054,3/2/92,2289789,ENDOMED INC,,,,
12836759,,,PARAGON SOLUTIONS LLC,,,,
11356365,7/13/81,1015541,GRAHAM ENGINEERING CORPORATION,,,,
12942527,,,THOMSON LICENSING INC,,,,
12426475,6/22/01,3407101,ARKION LIFE SCIENCES LLC,,,,
12175650,,,ROCHESTER PHOTONICS CORPORATION,,,,
12895835,7/31/00,3232394,CENTERBEAM INC,,,,
12332010,,,LYNNTECH POWER SYSTEMS LTD,LYNN TECH POWER SYSTEMS LTD,,,
10031275,,,SANDOZ INC,,,,
11697240,,,HEXCELFYFE CO LLC,,,,
11687322,,,REPLICATECH INC,,,,
10881893,,,EXXON CHEMICAL PATENTS INC,EXXON CHEMICALS PATENTS INC,,,
12819058,,,DEEPWATER COMPOSITES AS,,,,
12223495,,,ROBERTSON AVIATION LLC,,,,
12199888,,,BESTFOODS,,,,
12098177,5/21/91,2263591,NEOSE TECHNOLOGIES INC,,,,
13243433,,,INFOVALVE COMPUTING INC,INFO VALVE COMPUTING INC,,,
11110090,2/4/10,4785548,NNAS,NOVO NORDISK AS,NOVO NORDISK ALS,NOVA NORDISK AS,NOVO NORDISK AJ
12835213,12/15/06,4268803,THINKENGINE NETWORKS INC,,,,
13076243,7/10/89,2201708,BORLAND SOFTWARE COPORATION,BORLAND SOFTWARE CORPORATION,,,
12735477,3/7/96,2600915,MEDIMMUNE VACCINES INC,MED IMMUNE VACCINES INC,,,
10968867,7/13/87,C1590902,VOICECRAFT INC,,,,
13099565,6/10/98,2906074,ENVOYWORLDWIDE INC,,,,
10846517,,,GISTBROCADES SA,GISTBROCADES,,,
11251353,,,CHEMGEN CORPORATION,,,,
11003545,,,SUNDSTRANDSAUER,,,,
12295651,,,ANDERSEN CONSULTING PROPERTIES BV,,,,
10865343,3/29/84,2031773,BIOSONICS INC,,,,
11378194,12/4/89,C1653716,MICROSOME,,,,
12916803,,,EXACTUS INC,,,,
12650983,5/4/00,3223273,STRATOS LIGHTWAVE LLC,,,,
11402274,,,MINITECH CO,,,,
12043635,,,SCENIX SEMICONDUCTION INC,SCENIX SEMICONDUCTOR INC,,,
11249621,8/26/97,2786454,CRYOLIFE INC,,,,
11818115,,,AIM INC,,,,
11819948,6/3/83,2010110,ANGSTROM TECHNOLOGIES INC,,,,
13174768,,,IDERA PHARMACEUTICALS INC,,,,
12180425,,,TOPGENE INC,,,,
11773295,5/7/87,2125611,SYNOPSYS INC,SYNOPSIS INC,,,
11974004,,,SHEILA H DEWITT,,,,
10755020,4/20/98,2885981,METAL BUILDING COMPONENTS INC,,,,
12541240,8/9/00,3272191,HUNTSMAN ETHYLENEAMINES LIMITED,HUNTSMAN ETHYLENEAMINES LTD,,,
12308264,,,AUTOMATED IDENTIFICATION SERVICE INC,,,,
10799784,1/27/83,2001887,CENTER FOR MOLECULAR MEDICINE AND IMMUNOLOGY,,,,
11059040,8/3/84,2041383,RASTERGRAPHICS INC,,,,
10032645,,,BAYER AKTIENEGESELLSCHAFT,BAYER AKTIENGESELLISCHAFT,BAYER AKTIGENSELLSCHAFT,BAYER AKTIENSEGELLSCHAFT,BAYER AKTIENGESELLSCGAFT
10749964,,,WANGNER SYSTEMS CORPORATION,,,,
13224791,5/13/05,3969993,KIRBY LESTER LLC,,,,
12776416,6/11/80,C0985139,ZYVEX CORPORATION,,,,
12137541,,,BARTLEY RF SYSTEMS INC,,,,
13202339,,,MICROSEMI INC,,,,
10074350,,,BREED CORPORATION,,,,
11895249,,,4U2C INC,,,,
10747999,,,DATATAPE INCORPORATED,,,,
22520291,12/21/94,2463802,PERKINELMER OPTOELECTRONICS,,,,
12737371,9/24/02,3572184,MARICAL INC,,,,
11522079,3/7/90,2224010,OXFORD GLYCOSYSTEMS LTD,OXFORD GLYCOSCIENCES LTD,OXFORD GLYCOSYSTEMS LIMITED,,
12785334,,,G5 ELECTRONICS,,,,
12497325,,,STMICROELECTRONICS LTD,STMICROELECTRONICS LIMITED,,,
12600190,9/29/97,2751180,MICROVENTION INC,MICROVENTION,,,
12926310,,,JASC SOFTWARE INC,,,,
11380288,,,VORAD SAFETY SYSTEMS INC,,,,
12991474,3/15/00,3194141,TAGSENSE INC,,,,
11849075,,,INTERACTIVE MEDIA WORKS LLC,,,,
11102070,1/7/91,C1678890,STANDARD TEXTILE CO INC,,,,
12818093,8/29/00,3250481,ADVANCED INTERFACES LLC,,,,
12720482,,,AVTURF LLC,,,,
12680431,8/11/98,C2117057,NEXMEM,,,,
13172365,11/9/95,2557352,ARRIS INTERACTIVE LLC,,,,
11571472,9/1/88,2171320,SYNERNETICS INC,,,,
11934782,,,SCHICK TECHNOLOGIES INC,,,,
12224592,,,TECHNISPAN LLC,,,,
12679805,7/31/98,C2116233,RONAL SYSTEMS CORP,,,,
12642767,2/15/13,C3547329,BIO TEX INC,BIOTEX INC,,,
12091979,,,ALPINE PARTNERS,,,,
12690059,2/5/87,2116801,AP PHARMA INC,A P PHARMA INC,,,
12707388,,,LEAPFROG ENTERPRISES,LEAPFROG ENTERPRISES INC,,,
11970511,5/4/84,2034642,SENTEC CORPORATION,,,,
13217355,9/5/89,C1649026,UPGRADEDETECT INC,,,,
12465947,,,WHITE OAK SEMICONDUCTOR PARTNERSHIP,,,,
12478711,,,UNITED STEEL ENTERPRISES INC,,,,
12080249,,,FOLH LLC,,,,
12234110,9/16/96,2650153,CONEXNANT SYSTEMS INC,CONEXANT SYSTEMS INC,CONEXANT SYSTEM INC,CONEXANT SYTEMS INC,
11204050,,,HRD INC,H R D CORPORATION,,,
13121945,,,ADVANCED INTERCONNECTION CORPORATION,,,,
11519158,,,SANDERG SIKORSKI DIAMOND CORP,SANDBERG SIKORSKI DIAMOND CORP,SANDBERG SIKORSKI DIAMOND CORPORATI,SANDBERG SIKORSKI CORPORATION,
11272503,,,PHOTOSCAPE INC,,,,
10629047,2/27/75,C0731697,NORTON CHRISTENSEN INC,,,,
11151360,9/11/79,C0939874,ABO INC,,,,
11395072,,,B F GOODRICH FLIGHTSYSTEMS INC,,,,
11448798,,,AZDEL INC,,,,
12780408,12/3/99,3133835,BAYER CROPSCIENCE LP,BAYER CROP SCIENCE LP,,,
11160905,9/25/89,2208623,EPICOR INDUSTRIES INC,,,,
12515341,,,TEKSERVE POS LLC,,,,
11458926,5/11/87,2125868,SUPERCONDUCTOR TECHNOLOGIES INC,,,,
12431313,4/17/97,2741868,OCULEX PHARMACETICALS INC,OCULEX PHARMACEUTICALS INC,,,
11659911,,,RADIANT IMAGING INC,,,,
13158644,5/20/09,C3212255,CLICK COMMERCE INC,,,,
12453929,10/3/96,2669962,ONE RIVER WORLDTREK INC,,,,
11964013,3/8/96,2601021,NANOFRAMES LLC,,,,
12723783,4/25/02,C2412981,SMUCKER FRUIT PROCESSING COMPANY,,,,
12619041,,,J W B C LLC,,,,
12495965,6/7/93,2339166,RESTORAGEN INC,,,,
12994453,2/13/02,C2404282,RIOSPRING INC,,,,
11271279,,,DANEK MEDICAL INC,,,,
12938248,,,BIOMODA INC,,,,
12379038,,,GLOBAL CROSSING NORTH AMERICA,,,,
11509460,12/21/99,3147445,BETA GROUP INC,BETA GROUP,,,
11988156,9/4/03,3699654,COUNTER PUNCH GROUP,,,,
13143600,,,INTEGRATED SILISON SOLUTION INC,,,,
11931816,,,MONORAIL INC,,,,
12369957,,,ORBITAL BIOSCIENCES LLC,,,,
11953395,,,DEXTERITY INC,,,,
10799175,,,MIZER CONTROLS INC,,,,
12853737,5/23/68,678627,FREQUENCY ELECTRONICS INC,,,,
13112158,11/4/02,3586816,SKIN MEDICA INC,SKINMEDICA INC,,,
11108810,6/16/87,2129294,PROCESS MODELING INVESTMENT CORP,,,,
10265941,,,KOTOBUKI CO LTD,KOTOBUKI CO,KOTOBUKI COLTD,,
11503507,,,ADVANCED RESEARCH TECHNOLOGY INSTITUTE,,,,
11383102,,,PREMIER WOOD FLOORS,,,,
12859039,8/28/91,C1800341,AMCYTE INC,,,,
11786867,5/4/06,4151993,MARVELL SEMICONDUCTOR INC,,,,
10673072,7/24/89,2202900,ACTV INC,,,,
11470711,,,EV ENERGY SYSTEMS INC,,,,
11649037,,,EFFERVESCENT PRODUCTS LLC,,,,
11263368,,,PRESST INC,,,,
11657352,,,WOUND HEALING OF OKLAHOMA INC,WOUND HEALINGS OF OKLAHOMA,WOUND HEALING OF OKLAHOMA,,
11447574,,,DYTEL INC,,,,
11652404,9/9/02,3566572,DELTA PHARMACEUTICALS INC,,,,
11217350,12/17/86,2111448,FLASHPOINT COMPUTER CORPORATION,,,,
11527095,12/28/87,2147590,OCULON CORPORATION,,,,
12900700,4/9/86,2088012,HUNTSMAN POLYMERS CORPORATION,,,,
12869288,,,PEAK SENSOR SYSTEMS LLC,,,,
12624810,12/18/84,C1264070,AZUR ENVIRONMENTAL,,,,
13014577,,,HARRIS BROADBAND WIRELESS ACCESS,,,,
13222365,,,NOVOZYMES ALS,,,,
11273409,,,ECOGEN INC,,,,
12670965,2/2/99,3000461,HOME DIRECTOR INC,,,,
12047802,5/17/06,4160230,APLEX INC,,,,
11874676,,,S3 INCORPORATED,,,,
13050322,,,RSM ELECTRON POWER INC,,,,
11439121,12/24/91,2283038,VISX INCORPORATED,VISX INC,,,
11620667,,,INNOVATIVE SURGICAL DEVICES CORPORATION,,,,
12947995,10/5/00,C2264769,UNITED DEVICES INC,,,,
12258597,10/30/95,2558192,ATAGLANCE INC,,,,
12314133,8/16/93,2348129,CHRYSALIS TECHNOLOGIES INCORPORATED,,,,
12763973,12/17/73,C0695001,CANON USA INC,,,,
11961291,11/25/86,2108668,BIOZYMES INC,BIOZYME INC,,,
12992140,,,ENTERON INC,,,,
12298724,10/16/01,3446403,VERTEX NETWORKS INC,,,,
11955735,11/18/87,2143922,KOBE PRECISION INC,,,,
12710649,,,CREATIVE PEPTIDES SWEDEN AB,,,,
12591916,,,TOLERANCE THERAPEUTICS INC,,,,
11419981,,,GULTONSTATHAM TRANSDUCERS INC,,,,
11430128,,,PRODUCERS COLOR SERVICE INC,,,,
11931427,,,ELSYN INC,,,,
12735553,,,IESSERA INC,,,,
13012418,,,PACESETT INC,,,,
11461772,,,DIAGNOSTICS DEVICES INC,,,,
12222098,,,EVOTEC BIO SYSTEMS AG,EVOTEC BIOSYSTEMS AG,EVOTEC BIOSYSTEM AG,,
11563422,2/24/98,2863524,AURAVISION CORPORATION,,,,
11885174,11/9/93,2359915,HAND TOOL DESIGN CORPORATION,,,,
11266207,,,NEUROTHERAPEUTICS INC,,,,
11862069,,,AKOS BIOMEDICAL INC,,,,
12995086,6/15/04,C2657001,INMATE TELEPHONE INC,,,,
10977483,10/29/85,2074494,SGSTHOMSON MICROELECTRONCIS SA,SGSTHOMSON MOCROELECTRONICS SA,SGSTHOMSON MICROELECTRONIC SA,SGSTHOMSON MICROELECTRONICS,SGATHOMSON MICROELECTRONICS SA
12600917,,,AMERSHAM HEALTH AS,,,,
11795654,,,LEES AQUARIUM PET PRODUCTS,,,,
11673732,,,WAGGENER PRZYDZIAL AND ASSOCIATES,,,,
11140137,8/23/88,2170270,AUDIO ANIMATION,,,,
11737984,5/16/80,C0983264,NANOTECHNOLOGY INC,,,,
10181830,3/10/06,4123811,VIDEO TEK INC,,,,
12819646,,,DUNLOP SLAZENGER SPORTS,,,,
10703567,11/23/87,C1423287,RONALD A SMITH ASSOCIATES,,,,
12612157,,,AGEC,,,,
11653062,,,INTERDIGITAL COMMUNICATION CORPORATION,INTERDIGITAL COMMUNICATIONS CORP,INTERDIGITAL COMMUNICATIONS CORPORATION,,
12058836,,,TRIQUEST LP,,,,
12234029,10/21/97,C2058938,LIGHT SOURCE ACQUISITION COMPANY,,,,
10330900,2/27/68,C0541579,STEELCASE INC,,,,
12845666,,,GEFRAN SENSORI SRL,,,,
13222192,,,MERIAL SAS,,,,
12897885,4/5/01,3379281,POWER EASE LLC,,,,
12456022,6/12/00,3242691,AMPWAVE TECH LLC,,,,
11526427,12/18/89,2216631,COMPUSERVE INCORPORATED,,,,
13050959,,,FULCRUM MICROYSTEMS INC,,,,
12961378,,,BARRDAY INC,,,,
12723186,4/7/00,3178350,OCCAM NETWORKS INC,OCCAM NETWORKS,,,
11699912,7/16/03,3682327,CORETECH INC,CORTECH INC,CORMETECH INC,,
13115075,,,FREESCALE SEMICONUCTOR INC,,,,
13032776,,,MERIDIAN MEDICAL SYSTEMS LLC,MERIDIAN MEDICALSSYSTEMS LLC,,,
10724965,,,NASTECH PHARMACEUTICAL COMPANY INC,,,,
11896932,,,STRATEGIC WEATHER SERVICES,,,,
11493426,4/16/97,2740456,PHYTOTECH INC,,,,
12471918,,,SONOSITE INC,,,,
12385137,,,QPANEL LAB PRODUCTS CORP,QPANEL LAB PRODUCTS,,,
12751851,,,TECHNICAL CONCEPTS LLC,,,,
11795415,,,SUNDBERGFERAR INC,,,,
12496235,,,ENGINEERED SUPPORT SYSTEM INC,ENGINEERED SUPPORT SYSTEMS INC,,,
12080826,,,BERNARD TECHNOLOGIES INC,,,,
12645005,12/13/51,452118,CURTIS INC,,,,
12864616,11/19/99,3129077,HUNTSMAN ADVANCED MATERIALS AMERICAS LLC,HUNTSMAN ADVANCED MATERIALS AMERICAS INC,HUNSTMAN ADVANCED MATERIALS AMERICAS INC,,
11483113,,,CHECKFREE CORPORATION,,,,
10664711,12/31/91,2283468,SUN REFINING AND MARKETING COMPANY,,,,
12684450,,,NETFLIXCOM INC,,,,
13039557,6/5/03,3667144,AZOPAX THERAPEUTICS LLC,,,,
10064062,3/17/03,3635583,SIGNAL LABS INC,,,,
11363124,,,NEURAL SYSTEMS CORP,,,,
12607673,8/25/95,C1947106,DIVIO INC,,,,
11899114,5/11/00,3227290,LIBERTY TECHNOLOGIES INC,,,,
12700605,8/11/92,2306454,SPECTRAPHYSICS SEMICONDUCTOR LASERS INC,SPECTRA PHYSICS SEMICONDUCTOR LASERS INC,SPECTRAPHYSICS SEMICOND LASERS IN,,
13150545,,,TALLABS OPERATIONS INC,,,,
12813580,12/21/99,3147088,PHARMACORE INC,,,,
11486492,8/26/85,C1284626,KURZWEIL APPLIED INTELLIGENCE INC,KURZWELL APPLIED INTELLIGENCE INC,,,
11006563,6/20/83,C1144976,IDETEK INC,,,,
11786071,6/28/96,2639336,PERIMMUNE HOLDINGS INC,,,,
12447925,11/1/04,C2681271,BEACON POWER CORPORATION,,,,
13081606,,,SIMPLEHUMAN LLC,,,,
12188505,,,HOLOGRAPHIC LITHOGRAPHY SYSTEMS INC,,,,
10891531,9/17/02,3569414,TECHS INC,,,,
12449116,,,WHERENET CORP,,,,
12417243,,,CORVIS CORPORATION,,,,
12626768,,,KRYOTECH INC,,,,
11864989,11/20/84,2048751,SUPERCEDE INC,,,,
11296138,,,CYPRUS FOOTE MINERAL COMPANY,,,,
12293152,,,RECEIPTCITYCOM INC,,,,
11605407,,,FRAN RICH CHI ASSOCIATES INC,,,,
12669119,,,GENICON LC,,,,
11275987,,,PEQUEA MACHINE INC,,,,
11178854,,,MALLINCKRODT SENSOR SYSTEMS INC,,,,
12815732,12/6/94,2458162,TEKNOCRAFT INC,,,,
11239495,,,SLT JAPAN CO LTD,,,,
12550163,,,TRUDELL MEDICAL INTERNATIONAL,,,,
11338654,,,SPECTRAPHYSICS ANALYTICAL INC,,,,
11283185,4/27/90,2229082,ECOPAC L P,,,,
12679544,3/24/08,4522534,NUTRIEX LLC,,,,
11302082,,,BW NUCLEAR SERVICE COMPANY,,,,
12153486,,,SUSPA INCORPORATED,,,,
12528262,4/19/10,4813411,PROTEROS LLC,,,,
12163690,,,UTMC MICROELECTRONICS SYSTEMS INC,UTMC MICROELECTRONIC SYSTEMS INC,,,
10894296,6/2/72,C0652896,OPTRON SYSTEMS INC,,,,
12867550,10/7/96,C1991336,BERKELEY ADVANCED BIOMATERIALS INC,,,,
11599971,,,CORTRAK MEDICAL INC,,,,
12827732,11/16/98,C2125729,BITBLITZ COMMUNICATIONS INC,,,,
